,Unnamed: 0,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type,Price,Qty,Owned,ΔOwn,ΔValue
0,0,None,2022-06-27 16:09:33,2022-06-23,CHK,CHESAPEAKE ENERGY CORP,Viets Joshua J.,EVP & COO,Purchase,$75.19,"+1,700.00","27,504.00",6.59%,"+$127,819.60"
8,8,None,2022-06-27 19:31:58,2022-06-23,DVA,DAVITA INC.,STAFFIERI MICHAEL DAVID,"Chief Operating Officer, DKC",Purchase,$77.70,"+20,000.00","130,681.00",18.07%,"+$1,554,000.00"
18,18,None,2022-06-27 10:27:14,2022-06-23,NRT,NORTH EUROPEAN OIL ROYALTY TRUST,Prue Nancy J F,other,Purchase,$12.54,+128.00,"6,128.00",2.13%,"+$1,605.12"
19,19,None,2022-06-27 06:41:07,2022-06-23,ALDX,"Aldeyra Therapeutics, Inc.",Brady Todd C,"Dir,President and CEO",Purchase,$3.36,"+17,700.00","1,216,535.00",1.48%,"+$59,546.34"
21,21,None,2022-06-27 06:42:17,2022-06-23,ALDX,"Aldeyra Therapeutics, Inc.",JOYCE MARTIN JOSEPH,Dir,Purchase,$3.48,"+4,323.00","23,967.00",22.01%,"+$15,024.59"
75,75,None,2022-06-24 15:19:01,2022-06-23,PAA,PLAINS ALL AMERICAN PIPELINE LP,McCarthy Kevin S,Dir,Purchase,$9.81,"+200,000.00","200,000.00",0%,"+$1,961,220.00"
123,123,None,2022-06-23 16:40:37,2022-06-23,OII,OCEANEERING INTERNATIONAL INC,WEBSTER STEVEN A,Dir,Purchase,$8.72,"+25,000.00","99,208.00",33.69%,"+$218,052.50"
50,50,M,2022-06-24 16:27:31,2022-06-22,SRRK,Scholar Rock Holding Corp,Nashat Amir,Dir,Purchase,$4.90,"+1,197,992.00","3,754,868.00",46.85%,"+$5,870,160.80"
51,51,M,2022-06-24 17:32:38,2022-06-22,IKNA,"Ikena Oncology, Inc.",Bonita David P,Dir,Purchase,$4.47,"-252,225.00","7,775,422.00",-3.35%,"-$1,128,020.79"
56,56,None,2022-06-24 16:05:12,2022-06-22,LGMK,"LogicMark, Inc.",Curtis Robert Arthur,Dir,Purchase,$1.15,"+10,000.00","27,645.00",56.67%,"+$11,460.00"
78,78,M,2022-06-24 17:39:05,2022-06-22,IKNA,"Ikena Oncology, Inc.",ORBIMED ADVISORS LLC,Dir,Purchase,$4.47,"-252,225.00","7,775,422.00",-3.35%,"-$1,128,020.79"
